"Показник","Територіальний розріз","Вид продукції","Елемент","Періодичність","2015","2016","2017","2018","2019","2020","2021"
"Обсяг споживання населенням продуктів харчування","Кіровоградська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","50.3","45.8","48.2"
"Обсяг споживання населенням продуктів харчування","Кіровоградська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","54.3","53.6","51.5"
"Обсяг споживання населенням продуктів харчування","Кіровоградська","Молоко та молочні продукти","Не застосовується","Річна","","","","","200.8","212.4","210.1"
"Обсяг споживання населенням продуктів харчування","Кіровоградська","Олія","Не застосовується","Річна","","","","","10.8","11","12.4"
"Обсяг споживання населенням продуктів харчування","Кіровоградська","Картопля","Не застосовується","Річна","","","","","139","134.2","133"
"Обсяг споживання населенням продуктів харчування","Кіровоградська","Цукор","Не застосовується","Річна","","","","","30.7","30.2","30.6"
"Обсяг споживання населенням продуктів харчування","Кіровоградська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","173.4","172.9","170.5"
"Обсяг споживання населенням продуктів харчування","Луганська","Хлібні продукти","Не застосовується","Річна","","","","","203.2","191.8","185.2"
"Обсяг споживання населенням продуктів харчування","Луганська","Яйця","Не застосовується","Річна","","","","","460.5","462.3","483.3"
"Обсяг споживання населенням продуктів харчування","Луганська","Риба та рибні продукти","Не застосовується","Річна","","","","","19.3","19.6","21.1"
"Обсяг споживання населенням продуктів харчування","Луганська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","97.1","91.5","93.1"
"Обсяг споживання населенням продуктів харчування","Луганська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","89.6","92.7","90"
"Обсяг споживання населенням продуктів харчування","Луганська","Молоко та молочні продукти","Не застосовується","Річна","","","","","316","320.6","335.3"
"Обсяг споживання населенням продуктів харчування","Луганська","Олія","Не застосовується","Річна","","","","","24.7","24.7","26.2"
"Обсяг споживання населенням продуктів харчування","Луганська","Картопля","Не застосовується","Річна","","","","","237.1","236","225.2"
"Обсяг споживання населенням продуктів харчування","Луганська","Цукор","Не застосовується","Річна","","","","","62.2","59.4","59.5"
"Обсяг споживання населенням продуктів харчування","Луганська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","252.1","226.7","227.2"
"Обсяг споживання населенням продуктів харчування","Львівська","Хлібні продукти","Не застосовується","Річна","","","","","235.6","234.5","229.9"
"Обсяг споживання населенням продуктів харчування","Львівська","Яйця","Не застосовується","Річна","","","","","729.9","696.4","696.7"
"Обсяг споживання населенням продуктів харчування","Львівська","Риба та рибні продукти","Не застосовується","Річна","","","","","23.6","24","26.9"
"Обсяг споживання населенням продуктів харчування","Львівська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","147.2","146.6","163.8"
"Обсяг споживання населенням продуктів харчування","Львівська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","131.1","133.1","128.6"
"Обсяг споживання населенням продуктів харчування","Львівська","Молоко та молочні продукти","Не застосовується","Річна","","","","","542","565.9","552.5"
"Обсяг споживання населенням продуктів харчування","Львівська","Олія","Не застосовується","Річна","","","","","32.3","34.1","37.3"
"Обсяг споживання населенням продуктів харчування","Львівська","Картопля","Не застосовується","Річна","","","","","449","451.1","445.6"
"Обсяг споживання населенням продуктів харчування","Львівська","Цукор","Не застосовується","Річна","","","","","76.5","73.2","77.8"
"Обсяг споживання населенням продуктів харчування","Львівська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","430.8","458","458.1"
"Обсяг споживання населенням продуктів харчування","Миколаївська","Хлібні продукти","Не застосовується","Річна","","","","","114.8","117.9","113.8"
"Обсяг споживання населенням продуктів харчування","Миколаївська","Яйця","Не застосовується","Річна","","","","","315.1","295.9","283.7"
"Обсяг споживання населенням продуктів харчування","Миколаївська","Риба та рибні продукти","Не застосовується","Річна","","","","","15.1","14.9","14.7"
"Обсяг споживання населенням продуктів харчування","Миколаївська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","69.9","66.8","66.3"
"Обсяг споживання населенням продуктів харчування","Миколаївська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","60.8","63.7","60.3"
"Обсяг споживання населенням продуктів харчування","Миколаївська","Молоко та молочні продукти","Не застосовується","Річна","","","","","229.9","228.8","219.6"
"Обсяг споживання населенням продуктів харчування","Миколаївська","Олія","Не застосовується","Річна","","","","","15.1","15.2","16.3"
"Обсяг споживання населенням продуктів харчування","Миколаївська","Картопля","Не застосовується","Річна","","","","","131.3","137.6","138.1"
"Обсяг споживання населенням продуктів харчування","Миколаївська","Цукор","Не застосовується","Річна","","","","","33.1","31.5","31.6"
"Обсяг споживання населенням продуктів харчування","Миколаївська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","201.9","192.1","194.8"
"Обсяг споживання населенням продуктів харчування","Одеська","Хлібні продукти","Не застосовується","Річна","","","","","236.7","233","219.8"
"Обсяг споживання населенням продуктів харчування","Одеська","Яйця","Не застосовується","Річна","","","","","628.8","624.3","561.3"
"Обсяг споживання населенням продуктів харчування","Одеська","Риба та рибні продукти","Не застосовується","Річна","","","","","38","35.8","36.8"
"Обсяг споживання населенням продуктів харчування","Одеська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","153","141.2","138.2"
"Обсяг споживання населенням продуктів харчування","Одеська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","114.2","118.9","114.6"
"Обсяг споживання населенням продуктів харчування","Одеська","Молоко та молочні продукти","Не застосовується","Річна","","","","","442","427.6","415.2"
"Обсяг споживання населенням продуктів харчування","Одеська","Олія","Не застосовується","Річна","","","","","34","33.2","35.4"
"Обсяг споживання населенням продуктів харчування","Одеська","Картопля","Не застосовується","Річна","","","","","242.9","229.4","212.9"
"Обсяг споживання населенням продуктів харчування","Одеська","Цукор","Не застосовується","Річна","","","","","64.2","62.4","63.1"
"Обсяг споживання населенням продуктів харчування","Одеська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","381.8","392.2","395.9"
"Обсяг споживання населенням продуктів харчування","Полтавська","Хлібні продукти","Не застосовується","Річна","","","","","142.2","134.1","124.2"
"Обсяг споживання населенням продуктів харчування","Полтавська","Яйця","Не застосовується","Річна","","","","","404.2","391.7","382.5"
"Обсяг споживання населенням продуктів харчування","Полтавська","Риба та рибні продукти","Не застосовується","Річна","","","","","16.8","16.8","17.1"
"Обсяг споживання населенням продуктів харчування","Полтавська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","76.2","80.4","78"
"Обсяг споживання населенням продуктів харчування","Полтавська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","73.6","70.2","66.3"
"Обсяг споживання населенням продуктів харчування","Полтавська","Молоко та молочні продукти","Не застосовується","Річна","","","","","280.8","269.6","267.8"
"Обсяг споживання населенням продуктів харчування","Полтавська","Олія","Не застосовується","Річна","","","","","15.2","15.4","18"
"Обсяг споживання населенням продуктів харчування","Полтавська","Картопля","Не застосовується","Річна","","","","","197.8","189.9","188.3"
"Обсяг споживання населенням продуктів харчування","Полтавська","Цукор","Не застосовується","Річна","","","","","39.7","38.5","38.2"
"Обсяг споживання населенням продуктів харчування","Полтавська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","263.1","246.9","248.5"
"Обсяг споживання населенням продуктів харчування","Рівненська","Хлібні продукти","Не застосовується","Річна","","","","","104.7","104.1","105.3"
"Обсяг споживання населенням продуктів харчування","Рівненська","Яйця","Не застосовується","Річна","","","","","335","319.9","302.2"
"Обсяг споживання населенням продуктів харчування","Рівненська","Риба та рибні продукти","Не застосовується","Річна","","","","","12.1","12.7","13"
"Обсяг споживання населенням продуктів харчування","Рівненська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","51.7","51.4","54"
"Обсяг споживання населенням продуктів харчування","Рівненська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","54.8","55.8","55.4"
"Обсяг споживання населенням продуктів харчування","Рівненська","Молоко та молочні продукти","Не застосовується","Річна","","","","","221.4","219.2","220.8"
"Обсяг споживання населенням продуктів харчування","Рівненська","Олія","Не застосовується","Річна","","","","","12","12.2","13.7"
"Обсяг споживання населенням продуктів харчування","Рівненська","Картопля","Не застосовується","Річна","","","","","194.7","182.7","183"
"Обсяг споживання населенням продуктів харчування","Рівненська","Цукор","Не застосовується","Річна","","","","","32.7","31.8","32.5"
"Обсяг споживання населенням продуктів харчування","Рівненська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","173.7","167.4","170.6"
"Обсяг споживання населенням продуктів харчування","Сумська","Хлібні продукти","Не застосовується","Річна","","","","","108","104.5","101.4"
"Обсяг споживання населенням продуктів харчування","Сумська","Яйця","Не застосовується","Річна","","","","","309.6","291.7","285.8"
"Обсяг споживання населенням продуктів харчування","Сумська","Риба та рибні продукти","Не застосовується","Річна","","","","","10.2","11.2","11.6"
"Обсяг споживання населенням продуктів харчування","Сумська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","49.2","45.9","46.6"
"Обсяг споживання населенням продуктів харчування","Сумська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","52.6","54.5","49.2"
"Обсяг споживання населенням продуктів харчування","Сумська","Молоко та молочні продукти","Не застосовується","Річна","","","","","196.1","191.4","188.5"
"Обсяг споживання населенням продуктів харчування","Сумська","Олія","Не застосовується","Річна","","","","","11.6","11.4","13"
"Обсяг споживання населенням продуктів харчування","Сумська","Картопля","Не застосовується","Річна","","","","","188.8","178.2","165"
"Обсяг споживання населенням продуктів харчування","Сумська","Цукор","Не застосовується","Річна","","","","","33.3","31.1","30.6"
"Обсяг споживання населенням продуктів харчування","Сумська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","180.9","173.3","176.2"
"Обсяг споживання населенням продуктів харчування","Тернопільська","Хлібні продукти","Не застосовується","Річна","","","","","102.6","96.8","96"
"Обсяг споживання населенням продуктів харчування","Тернопільська","Яйця","Не застосовується","Річна","","","","","302.3","290.1","274.2"
"Обсяг споживання населенням продуктів харчування","Тернопільська","Риба та рибні продукти","Не застосовується","Річна","","","","","10","9.7","10.7"
"Обсяг споживання населенням продуктів харчування","Тернопільська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","56","53.9","55.3"
"Обсяг споживання населенням продуктів харчування","Тернопільська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","51","49.4","50.1"
"Обсяг споживання населенням продуктів харчування","Тернопільська","Молоко та молочні продукти","Не застосовується","Річна","","","","","255.5","246","228.1"
"Обсяг споживання населенням продуктів харчування","Тернопільська","Олія","Не застосовується","Річна","","","","","13.7","13.6","14.5"
"Обсяг споживання населенням продуктів харчування","Тернопільська","Картопля","Не застосовується","Річна","","","","","170","161.9","161.7"
"Обсяг споживання населенням продуктів харчування","Тернопільська","Цукор","Не застосовується","Річна","","","","","27.2","25.7","26.9"
"Обсяг споживання населенням продуктів харчування","Тернопільська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","175","168.4","168.7"
"Обсяг споживання населенням продуктів харчування","Харківська","Хлібні продукти","Не застосовується","Річна","","","","","241.1","243.2","223.7"
"Обсяг споживання населенням продуктів харчування","Харківська","Яйця","Не застосовується","Річна","","","","","741.4","719.7","715.5"
"Обсяг споживання населенням продуктів харчування","Харківська","Риба та рибні продукти","Не застосовується","Річна","","","","","24.5","25.1","25.4"
"Обсяг споживання населенням продуктів харчування","Харківська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","148.3","134.2","131.4"
"Обсяг споживання населенням продуктів харчування","Харківська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","138.7","141.7","136"
"Обсяг споживання населенням продуктів харчування","Харківська","Молоко та молочні продукти","Не застосовується","Річна","","","","","543.7","536.1","521"
"Обсяг споживання населенням продуктів харчування","Харківська","Олія","Не застосовується","Річна","","","","","29","29.7","31.4"
"Обсяг споживання населенням продуктів харчування","Харківська","Картопля","Не застосовується","Річна","","","","","294.7","273.9","263.9"
"Обсяг споживання населенням продуктів харчування","Харківська","Цукор","Не застосовується","Річна","","","","","66.7","62.4","63.2"
"Обсяг споживання населенням продуктів харчування","Харківська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","460.9","440.4","435.9"
"Обсяг споживання населенням продуктів харчування","Херсонська","Хлібні продукти","Не застосовується","Річна","","","","","104.4","101.8","96.9"
"Обсяг споживання населенням продуктів харчування","Херсонська","Яйця","Не застосовується","Річна","","","","","274.7","260.7","258.9"
"Обсяг споживання населенням продуктів харчування","Херсонська","Риба та рибні продукти","Не застосовується","Річна","","","","","14.5","14.8","14.5"
"Обсяг споживання населенням продуктів харчування","Херсонська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","53.8","51.7","48.5"
"Обсяг споживання населенням продуктів харчування","Херсонська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","54.9","56.2","55.5"
"Обсяг споживання населенням продуктів харчування","Херсонська","Молоко та молочні продукти","Не застосовується","Річна","","","","","189.9","200.2","183.2"
"Обсяг споживання населенням продуктів харчування","Херсонська","Олія","Не застосовується","Річна","","","","","12.8","13.2","13.6"
"Обсяг споживання населенням продуктів харчування","Херсонська","Картопля","Не застосовується","Річна","","","","","135","138.6","141.9"
"Обсяг споживання населенням продуктів харчування","Херсонська","Цукор","Не застосовується","Річна","","","","","32.6","31.3","31.5"
"Обсяг споживання населенням продуктів харчування","Херсонська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","172","185.5","183.3"
"Обсяг споживання населенням продуктів харчування","Хмельницька","Хлібні продукти","Не застосовується","Річна","","","","","138.8","144.2","129.4"
"Обсяг споживання населенням продуктів харчування","Хмельницька","Яйця","Не застосовується","Річна","","","","","367.8","361","347.6"
"Обсяг споживання населенням продуктів харчування","Хмельницька","Риба та рибні продукти","Не застосовується","Річна","","","","","13.2","13.9","15.1"
"Обсяг споживання населенням продуктів харчування","Хмельницька","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","81.1","78.5","80.4"
"Обсяг споживання населенням продуктів харчування","Хмельницька","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","64.9","67.2","66.5"
"Обсяг споживання населенням продуктів харчування","Хмельницька","Молоко та молочні продукти","Не застосовується","Річна","","","","","262.3","255.1","260"
"Обсяг споживання населенням продуктів харчування","Хмельницька","Олія","Не застосовується","Річна","","","","","15.7","15.9","16.7"
"Обсяг споживання населенням продуктів харчування","Хмельницька","Картопля","Не застосовується","Річна","","","","","222.8","211.4","198.8"
"Обсяг споживання населенням продуктів харчування","Хмельницька","Цукор","Не застосовується","Річна","","","","","37.8","36.1","37.2"
"Обсяг споживання населенням продуктів харчування","Хмельницька","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","194.9","203.1","204"
"Обсяг споживання населенням продуктів харчування","Черкаська","Хлібні продукти","Не застосовується","Річна","","","","","141","134.2","124.7"
"Обсяг споживання населенням продуктів харчування","Черкаська","Яйця","Не застосовується","Річна","","","","","344.2","325.9","330.3"
"Обсяг споживання населенням продуктів харчування","Черкаська","Риба та рибні продукти","Не застосовується","Річна","","","","","16.7","16.8","18.1"
"Обсяг споживання населенням продуктів харчування","Черкаська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","75.2","72.2","75.9"
"Обсяг споживання населенням продуктів харчування","Черкаська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","62.5","61.8","64.8"
"Обсяг споживання населенням продуктів харчування","Черкаська","Молоко та молочні продукти","Не застосовується","Річна","","","","","259.7","263.4","259.9"
"Обсяг споживання населенням продуктів харчування","Черкаська","Олія","Не застосовується","Річна","","","","","14.8","14.8","15.2"
"Обсяг споживання населенням продуктів харчування","Черкаська","Картопля","Не застосовується","Річна","","","","","188.4","194.8","193.5"
"Обсяг споживання населенням продуктів харчування","Черкаська","Цукор","Не застосовується","Річна","","","","","42","40.1","41.4"
"Обсяг споживання населенням продуктів харчування","Черкаська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","208.1","199.5","200"
"Обсяг споживання населенням продуктів харчування","Чернівецька","Хлібні продукти","Не застосовується","Річна","","","","","98.6","98.2","101.9"
"Обсяг споживання населенням продуктів харчування","Чернівецька","Яйця","Не застосовується","Річна","","","","","250.1","252.3","246.5"
"Обсяг споживання населенням продуктів харчування","Чернівецька","Риба та рибні продукти","Не застосовується","Річна","","","","","9.5","9.3","10.1"
"Обсяг споживання населенням продуктів харчування","Чернівецька","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","63.3","59.1","64.9"
"Обсяг споживання населенням продуктів харчування","Чернівецька","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","41.1","39.9","42"
"Обсяг споживання населенням продуктів харчування","Чернівецька","Молоко та молочні продукти","Не застосовується","Річна","","","","","204.6","197.9","202.9"
"Обсяг споживання населенням продуктів харчування","Чернівецька","Олія","Не застосовується","Річна","","","","","11.6","11.6","12.2"
"Обсяг споживання населенням продуктів харчування","Чернівецька","Картопля","Не застосовується","Річна","","","","","130.4","129.2","130.3"
"Обсяг споживання населенням продуктів харчування","Чернівецька","Цукор","Не застосовується","Річна","","","","","28.2","26.9","27"
"Обсяг споживання населенням продуктів харчування","Чернівецька","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","161.9","158","159.4"
"Обсяг споживання населенням продуктів харчування","Чернігівська","Хлібні продукти","Не застосовується","Річна","","","","","116.2","112.3","103.5"
"Обсяг споживання населенням продуктів харчування","Чернігівська","Яйця","Не застосовується","Річна","","","","","293.6","264.5","272.7"
"Обсяг споживання населенням продуктів харчування","Чернігівська","Риба та рибні продукти","Не застосовується","Річна","","","","","12.7","12.6","13.6"
"Обсяг споживання населенням продуктів харчування","Чернігівська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","52.8","54.8","55.8"
"Обсяг споживання населенням продуктів харчування","Чернігівська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","52.4","52.2","52.1"
"Обсяг споживання населенням продуктів харчування","Чернігівська","Молоко та молочні продукти","Не застосовується","Річна","","","","","210.2","204.2","199.9"
"Обсяг споживання населенням продуктів харчування","Чернігівська","Олія","Не застосовується","Річна","","","","","12.9","13.2","14"
"Обсяг споживання населенням продуктів харчування","Чернігівська","Картопля","Не застосовується","Річна","","","","","164.7","161.5","155.2"
"Обсяг споживання населенням продуктів харчування","Чернігівська","Цукор","Не застосовується","Річна","","","","","39.4","37.6","37"
"Обсяг споживання населенням продуктів харчування","Чернігівська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","176","174.7","172.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Яловичина і телятина","Не застосовується","Річна","","","","","7.7","8.1","7.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Хлібні продукти","Не застосовується","Річна","","","","","97.6","96.6","92.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Яйця","Не застосовується","Річна","","","","","282","278","272"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Риба та рибні продукти","Не застосовується","Річна","8.6","9.6","10.8","11.8","12.5","12.4","13.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Плоди, ягоди та виноград","Не застосовується","Річна","50.9","49.7","52.8","57.8","58.7","56.5","59"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","М'ясо та м'ясні продукти","Не застосовується","Річна","50.9","51.4","51.7","52.8","53.6","53.8","53"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Інші види м'яса","Не застосовується","Річна","","","","","0.9","0.8","0.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Молоко та молочні продукти","Не застосовується","Річна","","","","","200.5","201.9","201.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Олія","Не застосовується","Річна","","","","","12","12.3","13.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Свинина","Не застосовується","Річна","","","","","19","18.8","19.9"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Картопля","Не застосовується","Річна","","","","","135.7","134","132.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","М'ясо птиці","Не застосовується","Річна","","","","","26","26.1","25"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Цукор","Не застосовується","Річна","","","","","28.8","27.8","28.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Україна","Овочі та баштанні продовольчі культури","Не застосовується","Річна","160.8","163.7","159.7","163.9","164.7","164","165.9"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Автономна Республіка Крим","Хлібні продукти","Не застосовується","Річна","","","","","","",""
"Споживання населенням продуктів харчування у розрахунку на одну особу","Автономна Республіка Крим","Яйця","Не застосовується","Річна","","","","","","",""
"Споживання населенням продуктів харчування у розрахунку на одну особу","Автономна Республіка Крим","Риба та рибні продукти","Не застосовується","Річна","","","","","","",""
"Споживання населенням продуктів харчування у розрахунку на одну особу","Автономна Республіка Крим","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","","",""
"Споживання населенням продуктів харчування у розрахунку на одну особу","Автономна Республіка Крим","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","","",""
"Споживання населенням продуктів харчування у розрахунку на одну особу","Автономна Республіка Крим","Молоко та молочні продукти","Не застосовується","Річна","","","","","","",""
"Споживання населенням продуктів харчування у розрахунку на одну особу","Автономна Республіка Крим","Олія","Не застосовується","Річна","","","","","","",""
"Споживання населенням продуктів харчування у розрахунку на одну особу","Автономна Республіка Крим","Картопля","Не застосовується","Річна","","","","","","",""
"Споживання населенням продуктів харчування у розрахунку на одну особу","Автономна Республіка Крим","Цукор","Не застосовується","Річна","","","","","","",""
"Споживання населенням продуктів харчування у розрахунку на одну особу","Автономна Республіка Крим","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","","",""
"Споживання населенням продуктів харчування у розрахунку на одну особу","Вінницька","Хлібні продукти","Не застосовується","Річна","","","","","111.5","111.5","109.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Вінницька","Яйця","Не застосовується","Річна","","","","","294","299","288"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Вінницька","Риба та рибні продукти","Не застосовується","Річна","10.8","11.8","13.3","14.1","15.4","14.7","15.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Вінницька","Плоди, ягоди та виноград","Не застосовується","Річна","54.3","54.6","58.2","62.6","63.5","63.6","65.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Вінницька","М'ясо та м'ясні продукти","Не застосовується","Річна","51.3","52.6","54.4","55.2","56.4","57.5","58.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Вінницька","Молоко та молочні продукти","Не застосовується","Річна","","","","","198.9","200.9","196.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Вінницька","Олія","Не застосовується","Річна","","","","","13.4","13.3","14.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Вінницька","Картопля","Не застосовується","Річна","","","","","165.4","168","160.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Вінницька","Цукор","Не застосовується","Річна","","","","","30.6","30.1","32"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Вінницька","Овочі та баштанні продовольчі культури","Не застосовується","Річна","170.3","176","170.9","167.2","167.2","174.5","176.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Волинська","Хлібні продукти","Не застосовується","Річна","","","","","105.6","110.1","101.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Волинська","Яйця","Не застосовується","Річна","","","","","274","285","287"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Волинська","Риба та рибні продукти","Не застосовується","Річна","7.7","8.7","10.2","12","12.5","13.5","13.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Волинська","Плоди, ягоди та виноград","Не застосовується","Річна","43.9","40.4","42.1","46.1","49.3","52.3","52.5"
