"Показник","Територіальний розріз","Категорія розрізу","Розріз","Стать","Тип домогосподарства","Періодичність","2019","2019-Q1","2019-M01","2019-M02","2019-M03","2019-Q2","2019-M04","2019-M05","2019-M06","2019-Q3","2019-M07","2019-M08","2019-M09","2019-Q4","2019-M10","2019-M11","2019-M12","2020","2020-Q1","2020-M01","2020-M02","2020-M03","2020-Q2","2020-M04","2020-M05","2020-M06","2020-Q3","2020-M07","2020-M08","2020-M09","2020-Q4","2020-M10","2020-M11","2020-M12","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12"
"Частка домогосподарств, що утримують сільськогосподарських тварин будь-якого виду, у загальній кількості домогосподарств","Чернівецька","Загалом","Загалом","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","72.8","","","","","","","","","","","","","","","","","70.4","","","","","","","","","","","","","","","","","73.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин будь-якого виду, у загальній кількості домогосподарств","Чернівецька","Загалом","Загалом","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","79.8","","","","","","","","","","","","","","","","","78","","","","","","","","","","","","","","","","","79.8","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин будь-якого виду, у загальній кількості домогосподарств","Чернівецька","Загалом","Загалом","Не застосовується","Загалом","Річна","68.9","","","","","","","","","","","","","","","","","64.6","","","","","","","","","","","","","","","","","69","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин будь-якого виду, у загальній кількості домогосподарств","Чернігівська","Загалом","Загалом","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","59.8","","","","","","","","","","","","","","","","","63.7","","","","","","","","","","","","","","","","","56.7","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин будь-якого виду, у загальній кількості домогосподарств","Чернігівська","Загалом","Загалом","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","73.5","","","","","","","","","","","","","","","","","78","","","","","","","","","","","","","","","","","77","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин будь-якого виду, у загальній кількості домогосподарств","Чернігівська","Загалом","Загалом","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","81","","","","","","","","","","","","","","","","","85.9","","","","","","","","","","","","","","","","","84.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин будь-якого виду, у загальній кількості домогосподарств","Чернігівська","Загалом","Загалом","Не застосовується","Загалом","Річна","69.7","","","","","","","","","","","","","","","","","74.9","","","","","","","","","","","","","","","","","71.5","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Бджолосім'ї","Не застосовується","Домогосподарства, які очолюють жінки","Річна","0.8","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Бджолосім'ї","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","1.3","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Бджолосім'ї","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","2.3","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Бджолосім'ї","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","1.4","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Бджолосім'ї","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","2.1","","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Бджолосім'ї","Не застосовується","Загалом","Річна","1.5","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства, які очолюють жінки","Річна","6.1","","","","","","","","","","","","","","","","","6.1","","","","","","","","","","","","","","","","","4.8","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","5.5","","","","","","","","","","","","","","","","","6.3","","","","","","","","","","","","","","","","","4.3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","4.8","","","","","","","","","","","","","","","","","4.9","","","","","","","","","","","","","","","","","3.9","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","6","","","","","","","","","","","","","","","","","5.8","","","","","","","","","","","","","","","","","5.3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","4.7","","","","","","","","","","","","","","","","","3.9","","","","","","","","","","","","","","","","","3.3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Загалом","Річна","5.5","","","","","","","","","","","","","","","","","5.5","","","","","","","","","","","","","","","","","4.3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Домогосподарства, які очолюють жінки","Річна","3.2","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","2.8","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","1.7","","","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","6.3","","","","","","","","","","","","","","","","","6.2","","","","","","","","","","","","","","","","","5.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","4.5","","","","","","","","","","","","","","","","","4.3","","","","","","","","","","","","","","","","","3.6","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","9.7","","","","","","","","","","","","","","","","","9.3","","","","","","","","","","","","","","","","","8.1","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Загалом","Річна","4.7","","","","","","","","","","","","","","","","","4.6","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Домогосподарства, які очолюють жінки","Річна","26.5","","","","","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","","22.3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","17.2","","","","","","","","","","","","","","","","","17.2","","","","","","","","","","","","","","","","","16.1","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","35.5","","","","","","","","","","","","","","","","","32.9","","","","","","","","","","","","","","","","","30.3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","32.7","","","","","","","","","","","","","","","","","28.3","","","","","","","","","","","","","","","","","26.4","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","49.7","","","","","","","","","","","","","","","","","45.9","","","","","","","","","","","","","","","","","40.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Загалом","Річна","30.8","","","","","","","","","","","","","","","","","28.5","","","","","","","","","","","","","","","","","26.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Домогосподарства, які очолюють жінки","Річна","25.5","","","","","","","","","","","","","","","","","23.4","","","","","","","","","","","","","","","","","21.5","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","16.3","","","","","","","","","","","","","","","","","16.7","","","","","","","","","","","","","","","","","15.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","34","","","","","","","","","","","","","","","","","31.9","","","","","","","","","","","","","","","","","29.4","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","31.3","","","","","","","","","","","","","","","","","27.2","","","","","","","","","","","","","","","","","25.7","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","48.1","","","","","","","","","","","","","","","","","45.2","","","","","","","","","","","","","","","","","39.4","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Загалом","Річна","29.5","","","","","","","","","","","","","","","","","27.7","","","","","","","","","","","","","","","","","25.4","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Домогосподарства, які очолюють жінки","Річна","31.9","","","","","","","","","","","","","","","","","30.8","","","","","","","","","","","","","","","","","30.9","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","24.1","","","","","","","","","","","","","","","","","24.7","","","","","","","","","","","","","","","","","25.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","45.2","","","","","","","","","","","","","","","","","44.7","","","","","","","","","","","","","","","","","43.6","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","41.9","","","","","","","","","","","","","","","","","39.3","","","","","","","","","","","","","","","","","37.3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","56","","","","","","","","","","","","","","","","","56.3","","","","","","","","","","","","","","","","","53.7","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Загалом","Річна","38.2","","","","","","","","","","","","","","","","","37.8","","","","","","","","","","","","","","","","","37.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Домогосподарства, які очолюють жінки","Річна","97.7","","","","","","","","","","","","","","","","","97.2","","","","","","","","","","","","","","","","","96.1","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","96.9","","","","","","","","","","","","","","","","","96.6","","","","","","","","","","","","","","","","","95.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","96.3","","","","","","","","","","","","","","","","","96.1","","","","","","","","","","","","","","","","","96.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","97.1","","","","","","","","","","","","","","","","","96.3","","","","","","","","","","","","","","","","","96.9","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","97.1","","","","","","","","","","","","","","","","","97.2","","","","","","","","","","","","","","","","","96.5","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Загалом","Річна","97","","","","","","","","","","","","","","","","","96.7","","","","","","","","","","","","","","","","","96.1","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Домогосподарства, які очолюють жінки","Річна","3.4","","","","","","","","","","","","","","","","","4.1","","","","","","","","","","","","","","","","","5.1","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","3.9","","","","","","","","","","","","","","","","","3.6","","","","","","","","","","","","","","","","","4.9","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","6.2","","","","","","","","","","","","","","","","","4.9","","","","","","","","","","","","","","","","","6.3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","4.6","","","","","","","","","","","","","","","","","4.6","","","","","","","","","","","","","","","","","6.1","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","6.3","","","","","","","","","","","","","","","","","5.9","","","","","","","","","","","","","","","","","6.4","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Загалом","Річна","4.7","","","","","","","","","","","","","","","","","4.5","","","","","","","","","","","","","","","","","5.7","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Домогосподарства, які очолюють жінки","Річна","0.5","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","0.5","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","1.2","","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","0.6","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","1.5","","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Загалом","Річна","0.8","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Вінницька","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","3.6","","","","","","","","","","","","","","","","","7.2","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Вінницька","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","5.5","","","","","","","","","","","","","","","","","8.1","","","","","","","","","","","","","","","","","7.7","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Вінницька","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","6.9","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","4.5","","","","","","","","","","","","","","","",""
"Частка домогосподарств, що утримують сільськогосподарських тварин певного виду, у загальній кількості домогосподарств, що утримують сільськогосподарських тварин будь-якого виду","Вінницька","Вид сільськогосподарських тварин","Кози","Не застосовується","Загалом","Річна","5","","","","","","","","","","","","","","","","","6.1","","","","","","","","","","","","","","","","","4.9","","","","","","","","","","","","","","","",""
