"Показник","Територіальний розріз","Вид сільськогосподарської продукції","Періодичність","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02"
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Культури зернові та зернобобові","Місячна","6580.9","6608.2","6609.3","6602.6","6656.6","6660.4","6602.2","6532.7","6526.2","6506.6","6505.7","6392.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Кукурудза","Місячна","","","","","6665.2","6670","6669.8","6669.7","6669.7","6651.9","6650.1","6480.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","6481.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Боби сої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Пшениця","Місячна","","","6138.8","6216.3","6468.8","6460","6387.7","6206.1","6218.8","6188.9","6189.4","6193.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6193.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","6365.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Сумська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Ячмінь","Місячна","5584.4","5987.4","5817.7","5891.2","6133.6","6227.7","5626.5","5700.3","5695.9","5720.8","5725.5","5787.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","5514.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Культури зернові та зернобобові","Місячна","6591.8","6640.7","6614.6","6588.2","6644.5","6630.7","6576.2","6596.9","6639.9","6607.7","6466.8","6401.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Кукурудза","Місячна","6531.1","6579.5","6576.4","6562.6","6627.7","6628.8","6620.2","6619.5","6620.6","6510.8","6400.7","6316","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","6316","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Насіння ріпаку й кользи","Місячна","","","","","","","","15642.5","16021.8","16057.7","16057.7","16057.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Боби сої","Місячна","14296.5","14563.3","14757.2","15415","15898.3","15955.1","15924.8","15892.1","15882","16101.3","16125.8","16154.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Пшениця","Місячна","7072.7","7146.3","7033.1","6805.4","6681.8","6489.5","6353.8","6594.1","6516","6533.9","6218","6229.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6229.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","6293.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Тернопільська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","6136.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Ячмінь","Місячна","6172.5","6586.8","6557","6547.1","6527.2","6493.2","6400.2","6379.3","6506.1","6634.2","6634.7","6638","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Культури зернові та зернобобові","Місячна","7466","7483.3","7423.1","7456.3","7458.9","7388.7","7017.7","6952.5","6919","6934.9","6979.1","6982.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Кукурудза","Місячна","","","","","","","","","5345.9","5555.2","5666","5732.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","6203.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Боби сої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Пшениця","Місячна","","7159.7","7097","6805.2","6770.5","6697.9","6327.7","6322.4","6470.6","6542.7","6596.6","6660.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Харківська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Ячмінь","Місячна","","","","","","","5552.3","5688.6","5720.4","5746.6","5834.4","5896.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","5896.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Культури зернові та зернобобові","Місячна","7177.1","7199.3","7129","6990","6981.6","6634.7","5943.5","6088.8","6189","6241.3","6330.5","6401.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Кукурудза","Місячна","","","","","","","","","","6331.1","6334.1","6360.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","6360.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Насіння ріпаку й кользи","Місячна","","","","","","","","","16229.4","16229.4","16229.7","16229.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Насіння соняшнику","Місячна","17755.3","18459.2","19338.1","19834.7","19850.4","19867.5","19867.5","19641.7","18245.5","17777.2","17636.8","17760.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Боби сої","Місячна","13785.3","14270.3","14307.1","14377.4","14465.3","14584.8","14965.9","14965.9","14709.2","14390.9","14030.6","13980.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Пшениця","Місячна","7478.5","7451.9","7314.1","7148.5","7124.4","7049.5","6091.6","6243.6","6374.9","6442","6552","6637.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6637.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","6776","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","6903","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Херсонська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","6415.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Ячмінь","Місячна","","6001.3","","6343.5","6529.5","6567.6","6475.9","6559.3","6684.3","6728.6","6777.4","6818.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Культури зернові та зернобобові","Місячна","6461.8","6398.2","6573.7","6751.2","7029","6999.3","6875.8","6814.9","7006.4","6989.2","7053.1","7167.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Кукурудза","Місячна","","","","","","","","","","","","5699.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Кукурудза 3 класу","Місячна","","","","","","","","","","","","5699.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Боби сої","Місячна","","15977.8","16543.9","17135.5","18138.7","18138.4","18028.4","18028","17856.8","17290","17282.3","17193.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Пшениця","Місячна","7434.7","7425.1","7288.7","6958.5","6893.2","6762.3","6587.5","6513.3","6614.1","6673.3","6842.2","6882.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6882.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","6995.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Хмельницька","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Ячмінь","Місячна","","","","","","","6058.1","5738.7","5882.5","5920.9","5925","5948.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","5583.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Культури зернові та зернобобові","Місячна","6518.1","6076","6399.5","6313.5","6351.2","6345.4","6223","6119.3","6499.7","6390.4","5906.2","5882.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Кукурудза","Місячна","6682.1","6103","6416.7","6281","6312.8","6305.6","6304.5","6286","6276.5","6143.4","5869.1","5810.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","5808.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Насіння ріпаку й кользи","Місячна","","","","","","","","15973.2","15973.2","15973.2","15973.2","15973.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Насіння соняшнику","Місячна","13941.1","14673.6","16950.7","16583.2","17089.1","17335.9","17201.9","17137.5","16107.3","15624.9","15819.8","15674","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Боби сої","Місячна","","","","15969.8","15759.3","15724.8","15728.4","15683.9","15536.4","14854.8","14654.1","14694.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Пшениця","Місячна","","7326.5","7002.4","6518.6","6557","6554","6024.8","5887.9","5950","5981","6001.9","6121.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6121.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","5938.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","6332","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Черкаська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","6028.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Ячмінь","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Культури зернові та зернобобові","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Кукурудза","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Кукурудза 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Боби сої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Пшениця","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернівецька","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Ячмінь","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Культури зернові та зернобобові","Місячна","6294.3","6685.9","7081.3","7047.8","7070.1","6991.1","6796.2","6646.2","6570.1","6583.4","6338.4","6328.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Кукурудза","Місячна","5699.9","5940.7","6116.5","6038","6151.5","6266.3","6289.3","6289.3","6286.6","6275.1","5501.6","5524.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","5527.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Насіння ріпаку й кользи","Місячна","","","","","","","","","15944.9","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Насіння соняшнику","Місячна","","","","","19073.4","19073.4","19073.4","19073.4","17417.5","17417.1","16169.8","16193.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Боби сої","Місячна","","15459.7","15465.3","15465.3","15779","15646.2","15646.2","15646.2","15646.2","15505.8","15505.8","15558.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Пшениця","Місячна","","","","","","5985.3","5985.1","5821.2","6051","6254.7","6378.7","6395.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6395.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","6341.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Чернігівська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Ячмінь","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Культури зернові та зернобобові","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Кукурудза","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Кукурудза 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Боби сої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Пшениця","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київ","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Ячмінь","Місячна","","239127","214729","190151","199355","179109","575175","1346834","993139","923183","638472","554791","499630",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Ячмінь пивоварний","Місячна","","77466","81460","69427","53721","41988","28143","37414","122965","166165","147968","140890","123270",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Ячмінь пивоварний 1 класу","Місячна","","3870","3000","1455","939","704","560","323","1255","3047","2991","2706","",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Ячмінь пивоварний 2 класу","Місячна","","67467","74425","63937","49736","38440","24743","33647","118083","157020","139043","132536","",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Ячмінь товарний","Місячна","","161661","133269","120724","145634","137121","547032","1309420","870174","757018","490504","413901","376360",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Ячмінь товарний 1 класу","Місячна","","","415","","","","","","","","","","",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Ячмінь товарний 2 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Ячмінь товарний 3 класу","Місячна","","154914","127123","115235","140325","135004","545130","1285917","857185","745863","483918","402127","363314",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Гречка","Місячна","","13803","13662","12431","10857","8475","3774","2079","1772","4527","7189","7542","9570",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Культури зернові та зернобобові","Місячна","","6864001","6096344","4853493","3644591","2744095","2150995","6177018","6887823","6732628","9612903","12722263","12044842",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Кукурудза","Місячна","","4921827","4347202","3297697","2367919","1621987","927252","580319","281428","634552","4811589","8691261","8277393",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Кукурудза 1 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Кукурудза 2 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Кукурудза 3 класу","Місячна","","4921827","4294188","3265441","2339599","1597949","904647","557895","258300","597517","4699500","8515352","8126367",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Культури зернобобові сушені","Місячна","","8054","7271","6237","9211","5227","4846","38980","28939","24317","20844","20672","15569",""
"Маса зерна і насіння, що є у наявності у підприємств, які займаються його зберіганням та переробленням","Україна","Просо","Місячна","","8746","6987","3807","2781","1955","1621","1316","7140","16440","16779","15495","12867",""
